Antibiotic	R	I	S
Amoxicillin	9838	230	10289
Amoxicillin/Clavulansäure	6669	3200	17356
Ampicillin	16346	835	14827
Ampicillin/Sulbactam	11718	5728	32516
Piperacillin	22000	1768	24604
Piperacillin/Tazobactam	6791	2345	40276
Cefepim	1591	1	16118
Cefotaxim	4443	57	46150
Ceftazidim	4308	191	35247
Cefuroxim	5877	2369	44040
Ertapenem	3	0	7449
Imipenem	6	5	50624
Meropenem	6	1	42274
Ciprofloxacin	11822	149	40323
Levofloxacin	10532	132	36687
Amikacin	52	6	3315
Gentamicin	3636	359	48171
Tobramycin	2538	1343	34498
Doxycyclin	15991	200	18024
Tetracyclin	6196	569	9690
Co-Trimoxazol	16450	87	35711
Fosfomycin	51	1	1000
