Antibiotic	R	I	S
Amoxicillin	30585	5699	28024
Amoxicillin/Clavulansäure	55046	24419	67400
Ampicillin	100446	36656	69186
Ampicillin/Sulbactam	87577	39013	99805
Piperacillin	68900	1518	78982
Piperacillin/Tazobactam	19721	17288	205995
Cefepim	7457	1059	62533
Cefotaxim	25599	412	192982
Ceftazidim	21918	8105	216054
Cefuroxim	41367	88087	111660
Ertapenem	131	24	122846
Imipenem	42	33	202694
Meropenem	52	35	249788
Ciprofloxacin	49468	5562	195793
Levofloxacin	41657	10745	160473
Amikacin	246	698	42875
Gentamicin	14304	825	233777
Tobramycin	4428	754	51542
Doxycyclin	13965	199	17427
Tetracyclin	10356	146	23399
Co-Trimoxazol	58836	170	190939
Fosfomycin	2278	23	193426
