Antibiotic	R	I	S
Amoxicillin	434	0	1
Amoxicillin/Clavulansäure	628	481	2423
Ampicillin	1902	0	0
Ampicillin/Sulbactam	903	524	3355
Piperacillin	1290	3226	152
Piperacillin/Tazobactam	481	312	3987
Cefepim	195	0	2428
Cefotaxim	455	7	4318
Ceftazidim	454	4	4334
Cefuroxim	578	240	3956
Ertapenem	6	0	974
Imipenem	5	2	4738
Meropenem	5	0	4524
Ciprofloxacin	587	44	4220
Levofloxacin	488	23	3579
Amikacin	5	4	695
Gentamicin	215	72	4546
Tobramycin	155	181	4151
Doxycyclin	458	166	2078
Tetracyclin	359	278	1438
Co-Trimoxazol	769	9	4068
Nitrofurantoin	381	929	535
