Antibiotic	R	I	S
Amoxicillin	11463	1	44
Amoxicillin/Clavulansäure	4417	1773	12861
Ampicillin	32931	45	13
Ampicillin/Sulbactam	10122	4876	25128
Piperacillin	17442	2470	6545
Piperacillin/Tazobactam	5210	3264	32203
Cefepim	938	52	6415
Cefotaxim	4712	110	30682
Ceftazidim	4889	978	35912
Cefuroxim	7530	8324	24018
Ertapenem	178	23	16038
Imipenem	107	55	40455
Meropenem	144	46	42604
Ciprofloxacin	4946	1110	36913
Amikacin	55	183	5478
Gentamicin	2890	66	39549
Tobramycin	903	85	7966
Doxycyclin	1196	178	3765
Tetracyclin	1487	293	6877
Co-Trimoxazol	5825	51	36761
Fosfomycin	5035	89	22300
Nitrofurantoin	4263	6429	10612
