Antibiotic	R	I	S
Amoxicillin	13956	7	3
Amoxicillin/Clavulansäure	7396	6470	17443
Ampicillin	46894	15	7
Ampicillin/Sulbactam	13051	11103	27380
Piperacillin	23468	2634	6119
Piperacillin/Tazobactam	6670	4385	44187
Cefepim	1860	157	13330
Cefotaxim	6203	199	43486
Ceftazidim	6431	1240	47937
Cefuroxim	9694	20924	24311
Ertapenem	270	20	28473
Imipenem	167	84	46486
Meropenem	209	92	56102
Ciprofloxacin	7405	1004	48094
Levofloxacin	5593	2138	38676
Amikacin	113	218	10209
Gentamicin	3290	96	52762
Tobramycin	1510	156	12132
Doxycyclin	2782	185	4537
Tetracyclin	1647	173	6087
Co-Trimoxazol	7393	55	48819
Fosfomycin	6461	95	34303
