Antibiotic	R	I	S
Amoxicillin	902	11	921
Amoxicillin/Clavulansäure	5848	3114	14844
Ampicillin	11301	655	10393
Ampicillin/Sulbactam	9260	5488	25564
Piperacillin	12641	6682	20445
Piperacillin/Tazobactam	3919	3001	32667
Cefepim	1284	2	15463
Cefotaxim	3130	38	37900
Ceftazidim	2957	128	28512
Cefuroxim	3990	2261	34933
Ertapenem	5	1	7444
Imipenem	7	7	40988
Meropenem	3	3	32290
Ciprofloxacin	9063	74	32144
Levofloxacin	8007	96	29049
Amikacin	14	13	2829
Gentamicin	2804	289	38093
Tobramycin	1495	1370	27535
Doxycyclin	10245	215	18171
Tetracyclin	4823	650	7164
Co-Trimoxazol	12926	59	28280
Fosfomycin	21	1	652
