Antibiotic	R	I	S
Amoxicillin	30212	4495	29553
Amoxicillin/Clavulansäure	41201	19611	49714
Ampicillin	91529	35471	62053
Ampicillin/Sulbactam	81065	44774	84689
Piperacillin	68991	1164	79736
Piperacillin/Tazobactam	21393	15356	187251
Cefepim	3895	530	31953
Cefotaxim	22557	272	164771
Ceftazidim	19380	8775	202666
Cefuroxim	38623	76609	110089
Ertapenem	70	18	69620
Imipenem	39	40	218642
Meropenem	27	27	233229
Ciprofloxacin	48396	4686	183416
Levofloxacin	40266	7358	149093
Amikacin	147	583	22089
Gentamicin	13551	1470	217886
Tobramycin	3133	389	35116
Doxycyclin	7746	110	8640
Tetracyclin	11987	94	30162
Co-Trimoxazol	57000	157	178342
Fosfomycin	2132	40	173693
