Antibiotic	R	I	S
Amoxicillin	3025	135	6697
Amoxicillin/Clavulansäure	1545	1479	12283
Ampicillin	9113	3461	16553
Ampicillin/Sulbactam	3995	4623	26880
Piperacillin	6930	129	18332
Piperacillin/Tazobactam	346	963	34583
Cefepim	78	11	5943
Cefotaxim	451	65	30881
Ceftazidim	350	343	36201
Cefuroxim	1374	8670	24350
Ertapenem	43	166	12800
Imipenem	1717	7886	19823
Meropenem	6	14	37997
Ciprofloxacin	4847	1498	31810
Amikacin	22	123	3926
Gentamicin	3846	178	33865
Tobramycin	550	131	6319
Doxycyclin	5599	3	30
Tetracyclin	7473	6	10
Co-Trimoxazol	11894	100	25911
Fosfomycin	3624	36	21020
Nitrofurantoin	19236	444	71
