Antibiotic	R	I	S
Amoxicillin	386	0	0
Amoxicillin/Clavulansäure	907	313	3246
Ampicillin	4453	0	1
Ampicillin/Sulbactam	1515	450	5690
Piperacillin	2687	4655	117
Piperacillin/Tazobactam	1121	322	6322
Cefepim	325	1	2695
Cefotaxim	907	8	7015
Ceftazidim	866	13	5456
Cefuroxim	1163	347	6438
Ertapenem	11	2	1894
Imipenem	0	4	7878
Meropenem	0	8	6383
Ciprofloxacin	1060	60	6867
Levofloxacin	849	42	5927
Amikacin	6	11	672
Gentamicin	553	82	7322
Tobramycin	325	401	5284
Doxycyclin	893	257	4097
Tetracyclin	577	261	1897
Co-Trimoxazol	1350	15	6617
Fosfomycin	12	2	214
