Antibiotic	R	I	S
Amoxicillin	1570	0	1
Amoxicillin/Clavulansäure	829	23	2035
Ampicillin	7299	1	0
Ampicillin/Sulbactam	2654	87	6199
Piperacillin	6597	98	163
Piperacillin/Tazobactam	1484	327	7196
Cefepim	22	5	207
Cefotaxim	429	87	7596
Ceftazidim	294	152	7536
Cefuroxim	1782	120	7328
Ertapenem	6	0	2580
Imipenem	7	0	9162
Meropenem	4	1	9253
Ciprofloxacin	672	98	8319
Amikacin	3	1	461
Gentamicin	115	1	9170
Tobramycin	27	5	1123
Doxycyclin	29	7	158
Tetracyclin	57	13	708
Co-Trimoxazol	528	8	8769
Fosfomycin	1371	1	3777
Nitrofurantoin	121	483	2044
