Antibiotic	R	I	S
Amoxicillin	141	0	0
Amoxicillin/Clavulansäure	454	140	1233
Ampicillin	1951	0	0
Ampicillin/Sulbactam	1008	180	2050
Piperacillin	1049	2046	69
Piperacillin/Tazobactam	650	107	2487
Cefepim	64	0	969
Cefotaxim	261	9	3064
Ceftazidim	253	3	2261
Cefuroxim	701	101	2540
Ertapenem	1	2	736
Imipenem	2	2	3303
Meropenem	1	1	2617
Ciprofloxacin	347	52	2953
Levofloxacin	302	42	2523
Amikacin	1	3	226
Gentamicin	38	52	3260
Tobramycin	16	42	2348
Doxycyclin	242	52	1927
Tetracyclin	142	50	936
Co-Trimoxazol	417	8	2927
Nitrofurantoin	53	240	1072
