Antibiotic	R	I	S
Amoxicillin	24931	3	24421
Amoxicillin/Clavulansäure	21825	1170	39103
Ampicillin	52948	241	52581
Ampicillin/Sulbactam	45857	2009	74552
Piperacillin	50052	136	51100
Piperacillin/Tazobactam	12541	3908	105352
Cefepim	2235	469	28746
Cefotaxim	12607	99	101016
Ceftazidim	10880	3444	97817
Cefuroxim	20167	674	107592
Ertapenem	20	6	51319
Imipenem	19	32	128515
Meropenem	11	22	127733
Ciprofloxacin	26626	1029	100592
Amikacin	80	154	31341
Gentamicin	8138	521	120093
Tobramycin	3317	228	31384
Doxycyclin	1000	9	2206
Tetracyclin	4291	86	9196
Co-Trimoxazol	35236	93	92837
Fosfomycin	1337	4	89037
Nitrofurantoin	1341	517	51151
