Antibiotic	R	I	S
Amoxicillin	5383	1	1
Amoxicillin/Clavulansäure	2750	2462	6640
Ampicillin	18432	7	6
Ampicillin/Sulbactam	5111	4296	11056
Piperacillin	8078	1758	2671
Piperacillin/Tazobactam	3326	660	17998
Cefepim	349	104	5348
Cefotaxim	836	250	18789
Ceftazidim	623	272	21136
Cefuroxim	3798	8068	9748
Ertapenem	37	5	11568
Imipenem	9	15	18851
Meropenem	17	20	22301
Ciprofloxacin	1345	164	20858
Levofloxacin	1054	258	16531
Amikacin	13	20	4288
Gentamicin	226	26	21997
Tobramycin	77	28	5454
Doxycyclin	917	51	2114
Tetracyclin	210	44	2772
Co-Trimoxazol	917	15	21322
Fosfomycin	2985	61	12029
