Antibiotic	R	I	S
Amoxicillin	4458	0	1
Amoxicillin/Clavulansäure	1563	22	3699
Ampicillin	8432	0	2
Ampicillin/Sulbactam	2598	45	6683
Piperacillin	7523	906	80
Piperacillin/Tazobactam	1919	213	7188
Cefepim	206	14	3136
Cefotaxim	650	118	8860
Ceftazidim	537	45	8180
Cefuroxim	2271	58	7574
Ertapenem	4	1	5173
Imipenem	3	2	9843
Meropenem	4	1	9499
Ciprofloxacin	999	115	8825
Levofloxacin	962	54	7585
Amikacin	4	3	3216
Gentamicin	163	15	9748
Tobramycin	129	16	5799
Doxycyclin	85	28	953
Tetracyclin	151	32	1682
Co-Trimoxazol	821	10	9109
Fosfomycin	902	0	4508
