Antibiotic	R	I	S
Amoxicillin	1107	2	2315
Amoxicillin/Clavulansäure	323	84	4667
Ampicillin	2373	2	5497
Ampicillin/Sulbactam	628	199	10053
Piperacillin	2995	151	7613
Piperacillin/Tazobactam	193	188	9932
Cefepim	11	1	468
Cefotaxim	157	9	10967
Ceftazidim	109	30	7920
Cefuroxim	389	55	10834
Ertapenem	2	8	1313
Imipenem	111	1887	7962
Meropenem	1	0	8978
Ciprofloxacin	1590	276	9440
Levofloxacin	1485	129	8692
Amikacin	4	1	490
Gentamicin	1020	51	10228
Tobramycin	501	43	6940
Doxycyclin	6903	0	9
Tetracyclin	3061	0	18
Co-Trimoxazol	3954	5	7336
Fosfomycin	36	0	252
