Antibiotic	R	I	S
Amoxicillin	9950	0	2
Amoxicillin/Clavulansäure	3111	64	9451
Ampicillin	19546	1	5
Ampicillin/Sulbactam	5608	126	16684
Piperacillin	17731	1622	116
Piperacillin/Tazobactam	3399	1356	18466
Cefepim	596	63	5832
Cefotaxim	3062	50	18712
Ceftazidim	3024	518	18542
Cefuroxim	4719	376	19168
Ertapenem	54	4	10598
Imipenem	57	12	24145
Meropenem	55	18	23900
Ciprofloxacin	3141	476	20413
Amikacin	56	23	6355
Gentamicin	1712	18	22506
Tobramycin	866	27	6573
Doxycyclin	165	23	431
Tetracyclin	528	94	1862
Co-Trimoxazol	3535	43	20545
Fosfomycin	3558	2	11853
Nitrofurantoin	1574	2259	1946
