Antibiotic	R	I	S
Amoxicillin	3203	0	6073
Amoxicillin/Clavulansäure	1200	52	9777
Ampicillin	5838	6	11772
Ampicillin/Sulbactam	1901	157	17974
Piperacillin	5751	59	12024
Piperacillin/Tazobactam	343	388	18767
Cefepim	57	9	6582
Cefotaxim	362	19	20153
Ceftazidim	317	65	17671
Cefuroxim	918	30	20119
Ertapenem	8	18	9723
Imipenem	517	2690	16487
Meropenem	3	10	20266
Ciprofloxacin	3154	582	17432
Levofloxacin	2934	224	15896
Amikacin	27	332	5853
Gentamicin	2186	1073	17900
Tobramycin	1006	781	10112
Doxycyclin	6000	1	11
Tetracyclin	4290	2	24
Co-Trimoxazol	6863	29	14274
Fosfomycin	2305	0	9642
