Antibiotic	R	I	S
Amoxicillin	5417	3	2
Amoxicillin/Clavulansäure	2213	2178	4896
Ampicillin	16829	5	5
Ampicillin/Sulbactam	5042	4600	8971
Piperacillin	7494	1937	2944
Piperacillin/Tazobactam	2969	722	16608
Cefepim	162	64	3138
Cefotaxim	743	175	16509
Ceftazidim	541	267	19733
Cefuroxim	3471	7105	9387
Ertapenem	18	4	7637
Imipenem	15	4	19583
Meropenem	8	8	20742
Ciprofloxacin	1288	137	19500
Levofloxacin	1016	175	14889
Amikacin	4	12	2218
Gentamicin	247	3	20548
Tobramycin	46	9	3846
Doxycyclin	461	23	1094
Tetracyclin	127	40	2944
Co-Trimoxazol	896	8	19927
Fosfomycin	2710	67	10060
