Antibiotic	R	I	S
Amoxicillin	25394	48	25322
Amoxicillin/Clavulansäure	19827	826	40092
Ampicillin	45744	746	44044
Ampicillin/Sulbactam	34279	2503	69640
Piperacillin	47280	183	48000
Piperacillin/Tazobactam	11739	6827	83002
Cefepim	3219	76	29741
Cefotaxim	10906	48	98032
Ceftazidim	10407	909	87962
Cefuroxim	16211	1127	94885
Ertapenem	23	4	50900
Imipenem	30	23	111656
Meropenem	18	6	107002
Ciprofloxacin	23511	757	88228
Levofloxacin	22004	378	79997
Amikacin	100	189	31847
Gentamicin	7333	452	104582
Tobramycin	5365	286	58564
Doxycyclin	4836	67	10640
Tetracyclin	8394	164	15448
Co-Trimoxazol	31744	91	80676
Fosfomycin	918	3	64200
