Antibiotic	R	I	S
Amoxicillin	1352	0	0
Amoxicillin/Clavulansäure	516	48	1498
Ampicillin	2827	2	0
Ampicillin/Sulbactam	954	77	2870
Piperacillin	2147	1495	51
Piperacillin/Tazobactam	798	111	3078
Cefepim	128	0	900
Cefotaxim	261	17	3675
Ceftazidim	262	2	2808
Cefuroxim	871	113	3195
Ertapenem	0	0	689
Imipenem	2	1	3959
Meropenem	1	0	3396
Ciprofloxacin	372	45	3761
Levofloxacin	336	43	3194
Amikacin	12	3	268
Gentamicin	67	26	4085
Tobramycin	40	43	2892
Doxycyclin	652	45	1780
Tetracyclin	189	58	1242
Co-Trimoxazol	472	12	3685
Nitrofurantoin	55	302	1554
