Antibiotic	R	I	S
Amoxicillin	120	0	276
Amoxicillin/Clavulansäure	253	184	4040
Ampicillin	1502	9	3315
Ampicillin/Sulbactam	393	323	7364
Piperacillin	685	1636	5617
Piperacillin/Tazobactam	126	167	7604
Cefepim	36	0	2986
Cefotaxim	125	2	8119
Ceftazidim	93	7	5808
Cefuroxim	271	105	7876
Ertapenem	0	1	1481
Imipenem	13	103	7189
Meropenem	1	0	6169
Ciprofloxacin	909	163	7206
Levofloxacin	770	88	6457
Amikacin	1	3	463
Gentamicin	540	148	7590
Tobramycin	56	343	5208
Doxycyclin	5702	0	3
Tetracyclin	2561	1	9
Co-Trimoxazol	2907	11	5359
Nitrofurantoin	4300	3	6
