Antibiotic	R	I	S
Amoxicillin	2504	0	5
Amoxicillin/Clavulansäure	1077	130	2998
Ampicillin	11676	1	5
Ampicillin/Sulbactam	4175	305	9963
Piperacillin	6944	1184	1800
Piperacillin/Tazobactam	2378	467	11222
Cefepim	144	16	1928
Cefotaxim	670	188	11725
Ceftazidim	509	192	13431
Cefuroxim	2643	375	10306
Ertapenem	33	2	5995
Imipenem	18	6	14239
Meropenem	9	10	14838
Ciprofloxacin	1055	163	13647
Amikacin	6	16	1942
Gentamicin	169	10	14702
Tobramycin	53	12	3039
Doxycyclin	167	31	1546
Tetracyclin	307	57	2576
Co-Trimoxazol	822	8	14030
Fosfomycin	2021	21	6511
Nitrofurantoin	174	629	5743
