Antibiotic	R	I	S
Amoxicillin	14411	2020	13945
Amoxicillin/Clavulansäure	15980	1573	33069
Ampicillin	62344	956	64703
Ampicillin/Sulbactam	58400	8359	94887
Piperacillin	52131	527	57668
Piperacillin/Tazobactam	13995	9621	129451
Cefepim	2378	70	19774
Cefotaxim	15117	153	121181
Ceftazidim	13731	5530	140000
Cefuroxim	24264	4303	121705
Ertapenem	241	13	52835
Imipenem	31	28	160136
Meropenem	27	21	166294
Ciprofloxacin	33291	1420	131966
Amikacin	191	582	20755
Gentamicin	10152	651	156091
Tobramycin	2608	318	28492
Doxycyclin	6024	104	12922
Tetracyclin	12224	151	24877
Co-Trimoxazol	42442	74	124012
Fosfomycin	1784	19	116138
Nitrofurantoin	2134	830	114886
