Antibiotic	R	I	S
Amoxicillin	1211	11	2415
Amoxicillin/Clavulansäure	212	233	4640
Ampicillin	2090	3	4498
Ampicillin/Sulbactam	390	342	9055
Piperacillin	1591	1285	6572
Piperacillin/Tazobactam	153	104	9672
Cefepim	31	0	3165
Cefotaxim	147	5	9765
Ceftazidim	112	7	7249
Cefuroxim	291	93	9844
Ertapenem	0	5	1292
Imipenem	29	934	7846
Meropenem	0	1	8127
Ciprofloxacin	1257	235	8752
Levofloxacin	1092	126	7948
Amikacin	2	1	468
Gentamicin	832	196	9208
Tobramycin	191	409	6500
Doxycyclin	6655	1	4
Tetracyclin	3238	1	3
Co-Trimoxazol	3905	20	6311
Fosfomycin	17	0	68
