Antibiotic	R	I	S
Oxacillin	39528	0	28188
Penicillin	41940	0	5960
Ciprofloxacin	19932	329	18882
Levofloxacin	27206	673	31043
Moxifloxacin	14842	7501	25722
Gentamicin	21482	72	43218
Clindamycin	30685	522	33473
Erythromycin	37943	105	24348
Doxycyclin	9498	531	20412
Tetracyclin	10405	3676	23817
Teicoplanin	4935	99	41403
Vancomycin	8	4	63534
Co-Trimoxazol	14213	1164	49343
Fosfomycin	24806	45	31435
Fusidinsäure	14282	657	32879
Linezolid	131	0	61286
Nitrofurantoin	88	77	17972
Rifampicin	2853	245	55259
