Antibiotic	R	I	S
Amoxicillin	9761	0	1
Amoxicillin/Clavulansäure	2543	58	8806
Ampicillin	17610	0	5
Ampicillin/Sulbactam	4481	162	15310
Piperacillin	16275	2288	157
Piperacillin/Tazobactam	2875	934	16336
Cefepim	754	36	5832
Cefotaxim	2570	23	18428
Ceftazidim	2499	226	16936
Cefuroxim	3793	307	17690
Ertapenem	64	7	10525
Imipenem	54	7	21507
Meropenem	54	5	20724
Ciprofloxacin	2887	330	18554
Levofloxacin	2576	121	16267
Amikacin	65	33	6309
Gentamicin	1338	26	20380
Tobramycin	1242	108	11363
Doxycyclin	483	107	2181
Tetracyclin	848	245	3376
Co-Trimoxazol	3085	25	18668
Fosfomycin	2048	6	9664
