Antibiotic	R	I	S
Amoxicillin	24552	579	25374
Amoxicillin/Clavulansäure	29395	5884	46517
Ampicillin	71364	12669	62965
Ampicillin/Sulbactam	67418	19633	92420
Piperacillin	54709	736	60389
Piperacillin/Tazobactam	17176	12077	149387
Cefepim	3552	147	25832
Cefotaxim	18044	379	136822
Ceftazidim	15465	7099	164675
Cefuroxim	29903	37420	108396
Ertapenem	98	20	60112
Imipenem	23	26	180278
Meropenem	24	21	190461
Ciprofloxacin	37078	1993	152612
Amikacin	165	635	21210
Gentamicin	11352	1037	177793
Tobramycin	3079	350	32321
Doxycyclin	6297	169	13258
Tetracyclin	11550	187	27041
Co-Trimoxazol	47314	101	143268
Fosfomycin	1920	26	137105
Nitrofurantoin	1844	756	133103
