Antibiotic	R	I	S
Amoxicillin	3739	0	1
Amoxicillin/Clavulansäure	1155	83	4282
Ampicillin	7333	5	4
Ampicillin/Sulbactam	2006	164	8147
Piperacillin	9859	237	93
Piperacillin/Tazobactam	1497	362	8520
Cefepim	61	0	388
Cefotaxim	1206	9	9697
Ceftazidim	1199	42	7494
Cefuroxim	1728	330	9147
Ertapenem	22	3	1847
Imipenem	17	6	10645
Meropenem	16	2	8936
Ciprofloxacin	1459	182	9430
Levofloxacin	1251	99	8364
Amikacin	28	12	866
Gentamicin	720	20	10300
Tobramycin	828	139	7221
Doxycyclin	2771	254	3540
Tetracyclin	501	161	2315
Co-Trimoxazol	1679	5	9382
Fosfomycin	65	2	501
