Antibiotic	R	I	S
Amoxicillin	4361	0	21
Amoxicillin/Clavulansäure	1793	741	4609
Ampicillin	13215	29	6
Ampicillin/Sulbactam	4516	2005	9707
Piperacillin	5881	1731	2496
Piperacillin/Tazobactam	2630	556	13349
Cefepim	129	55	2433
Cefotaxim	754	207	13466
Ceftazidim	550	251	16030
Cefuroxim	2973	3523	9213
Ertapenem	22	3	6782
Imipenem	10	1	16282
Meropenem	6	6	17183
Ciprofloxacin	1061	196	15981
Amikacin	7	16	1983
Gentamicin	198	13	16945
Tobramycin	53	18	3413
Doxycyclin	202	35	1535
Tetracyclin	204	52	2885
Co-Trimoxazol	941	6	16139
Fosfomycin	2238	41	7756
Nitrofurantoin	445	495	6579
