Antibiotic	R	I	S
Amoxicillin	3836	1	0
Amoxicillin/Clavulansäure	1014	175	4090
Ampicillin	6615	4	4
Ampicillin/Sulbactam	1852	287	7546
Piperacillin	5854	3187	120
Piperacillin/Tazobactam	1574	271	7924
Cefepim	326	1	2935
Cefotaxim	1123	6	8816
Ceftazidim	1145	24	6925
Cefuroxim	1544	490	8530
Ertapenem	10	3	1940
Imipenem	13	4	9914
Meropenem	8	7	8621
Ciprofloxacin	1336	122	9015
Levofloxacin	1087	61	7763
Amikacin	40	15	809
Gentamicin	692	73	9667
Tobramycin	603	372	6841
Doxycyclin	2063	266	4072
Tetracyclin	685	254	2610
Co-Trimoxazol	1697	23	8743
Fosfomycin	35	9	293
