Antibiotic	R	I	S
Amoxicillin	153	0	0
Amoxicillin/Clavulansäure	362	206	1046
Ampicillin	781	0	0
Ampicillin/Sulbactam	491	216	1403
Piperacillin	601	1402	65
Piperacillin/Tazobactam	351	99	1655
Cefepim	62	0	1040
Cefotaxim	202	4	1897
Ceftazidim	203	4	1908
Cefuroxim	399	76	1630
Ertapenem	0	0	399
Imipenem	1	0	2096
Meropenem	0	0	2024
Ciprofloxacin	193	29	1910
Levofloxacin	156	14	1666
Amikacin	0	0	268
Gentamicin	32	24	2075
Tobramycin	14	29	1968
Doxycyclin	138	32	1103
Tetracyclin	101	28	704
Co-Trimoxazol	257	3	1873
Nitrofurantoin	25	116	556
