Antibiotic	R	I	S
Amoxicillin	6616	0	3
Amoxicillin/Clavulansäure	2370	386	8340
Ampicillin	27827	1	11
Ampicillin/Sulbactam	8321	965	25530
Piperacillin	18051	1850	4669
Piperacillin/Tazobactam	3973	2633	27161
Cefepim	684	16	4506
Cefotaxim	3789	85	26508
Ceftazidim	3922	848	29615
Cefuroxim	6138	1579	25003
Ertapenem	123	16	13513
Imipenem	79	38	34582
Meropenem	93	44	35842
Ciprofloxacin	4128	728	31219
Amikacin	42	126	4916
Gentamicin	2397	47	33691
Tobramycin	713	75	6732
Doxycyclin	1000	134	3367
Tetracyclin	1499	213	5839
Co-Trimoxazol	4814	56	31187
Fosfomycin	4544	29	17905
Nitrofurantoin	3348	5224	9032
