Antibiotic	R	I	S
Amoxicillin	3050	0	5996
Amoxicillin/Clavulansäure	1378	54	9690
Ampicillin	6568	2	14097
Ampicillin/Sulbactam	2676	111	20434
Piperacillin	5857	18	12601
Piperacillin/Tazobactam	295	377	22875
Cefepim	31	8	6200
Cefotaxim	425	24	21665
Ceftazidim	300	189	20094
Cefuroxim	1065	19	23178
Ertapenem	7	51	10051
Imipenem	1149	5421	16209
Meropenem	4	11	24219
Ciprofloxacin	3377	881	20076
Amikacin	27	67	5958
Gentamicin	2320	384	21733
Tobramycin	567	224	5962
Doxycyclin	5117	0	4
Tetracyclin	2892	2	9
Co-Trimoxazol	7744	55	16540
Fosfomycin	2880	0	13839
Nitrofurantoin	5922	4	8
