Antibiotic	R	I	S
Amoxicillin	3879	1636	8330
Amoxicillin/Clavulansäure	3126	6845	18700
Ampicillin	13381	10318	19594
Ampicillin/Sulbactam	5528	11242	31598
Piperacillin	9005	263	24896
Piperacillin/Tazobactam	404	1249	50495
Cefepim	130	65	13645
Cefotaxim	627	113	46850
Ceftazidim	507	412	51204
Cefuroxim	1604	22636	27000
Ertapenem	27	129	26733
Imipenem	2118	10042	19578
Meropenem	9	21	53251
Ciprofloxacin	8808	512	44075
Levofloxacin	6699	1236	35908
Amikacin	118	182	8215
Gentamicin	6057	211	46872
Tobramycin	792	293	10251
Doxycyclin	8798	1	14
Tetracyclin	7092	4	23
Co-Trimoxazol	16982	107	36058
Fosfomycin	5156	30	33742
