Antibiotic	R	I	S
Amoxicillin	10246	33	10668
Amoxicillin/Clavulansäure	8898	1466	19118
Ampicillin	18991	99	18986
Ampicillin/Sulbactam	15928	3498	37225
Piperacillin	26989	270	28878
Piperacillin/Tazobactam	8315	4689	39028
Cefepim	306	0	2000
Cefotaxim	5324	43	52754
Ceftazidim	5197	173	40135
Cefuroxim	7863	1234	49932
Ertapenem	7	1	7858
Imipenem	6	6	57317
Meropenem	7	2	46857
Ciprofloxacin	12893	504	45570
Levofloxacin	11785	303	42060
Amikacin	45	24	4069
Gentamicin	3798	214	54746
Tobramycin	3951	190	38462
Doxycyclin	20151	179	16833
Tetracyclin	5540	108	10034
Co-Trimoxazol	17988	11	40910
Fosfomycin	73	1	2795
