Antibiotic	R	I	S
Amoxicillin	159	0	333
Amoxicillin/Clavulansäure	235	113	3502
Ampicillin	533	5	1276
Ampicillin/Sulbactam	322	162	4381
Piperacillin	216	1189	3382
Piperacillin/Tazobactam	50	173	4626
Cefepim	24	0	2730
Cefotaxim	57	0	4828
Ceftazidim	46	10	4817
Cefuroxim	119	47	4718
Ertapenem	0	0	718
Imipenem	11	43	4035
Meropenem	0	0	4656
Ciprofloxacin	687	108	4126
Levofloxacin	604	19	3781
Amikacin	0	10	689
Gentamicin	355	109	4451
Tobramycin	45	280	4265
Doxycyclin	2870	0	0
Tetracyclin	2010	1	8
Co-Trimoxazol	1785	5	3134
Nitrofurantoin	1957	2	0
