Antibiotic	R	I	S
Amoxicillin	13448	7	10
Amoxicillin/Clavulansäure	5698	5334	12156
Ampicillin	41056	18	17
Ampicillin/Sulbactam	11862	11572	21926
Piperacillin	22390	2106	6327
Piperacillin/Tazobactam	6222	4114	38379
Cefepim	1055	93	6530
Cefotaxim	5637	168	35656
Ceftazidim	5897	1200	42534
Cefuroxim	9297	17381	22571
Ertapenem	183	22	16515
Imipenem	133	87	47136
Meropenem	156	64	50228
Ciprofloxacin	7387	976	42506
Levofloxacin	5592	1545	33414
Amikacin	65	176	4655
Gentamicin	3402	8	46708
Tobramycin	1086	41	7807
Doxycyclin	1549	140	2173
Tetracyclin	1443	274	6607
Co-Trimoxazol	7163	91	43328
Fosfomycin	5631	121	28409
