Antibiotic	R	I	S
Oxacillin	46796	1	36875
Penicillin	53225	12	6288
Ciprofloxacin	27968	212	36654
Levofloxacin	36760	298	49777
Moxifloxacin	28696	2376	43208
Gentamicin	27798	129	66553
Clindamycin	40725	1008	51384
Erythromycin	53546	212	37221
Doxycyclin	12561	1259	37041
Tetracyclin	14047	3246	37558
Teicoplanin	7033	271	56844
Vancomycin	77	7	92259
Co-Trimoxazol	18784	1750	73566
Fosfomycin	33375	14	48981
Fusidinsäure	19775	920	44046
Linezolid	325	0	86151
Nitrofurantoin	311	44	25030
Rifampicin	3676	370	76563
