Antibiotic	R	I	S
Amoxicillin	1131	22	1139
Amoxicillin/Clavulansäure	5399	2980	12122
Ampicillin	4801	487	3975
Ampicillin/Sulbactam	6774	3603	15222
Piperacillin	5715	6473	13236
Piperacillin/Tazobactam	1799	3142	20608
Cefepim	951	0	14054
Cefotaxim	1695	16	23994
Ceftazidim	1698	61	23877
Cefuroxim	2288	1653	21734
Ertapenem	3	3	3805
Imipenem	0	5	25609
Meropenem	0	2	24342
Ciprofloxacin	5661	26	20202
Levofloxacin	4873	18	18437
Amikacin	32	53	3515
Gentamicin	1874	322	23623
Tobramycin	1001	1111	22118
Doxycyclin	5543	140	9897
Tetracyclin	3981	934	5218
Co-Trimoxazol	8069	32	17775
Fosfomycin	2	1	107
