Antibiotic	R	I	S
Amoxicillin	1087	0	2425
Amoxicillin/Clavulansäure	701	19	5484
Ampicillin	4786	84	10951
Ampicillin/Sulbactam	2152	88	16866
Piperacillin	4188	24	10420
Piperacillin/Tazobactam	157	427	18823
Cefepim	8	8	469
Cefotaxim	227	25	16912
Ceftazidim	161	162	16108
Cefuroxim	640	62	19192
Ertapenem	7	50	4387
Imipenem	1068	4559	10932
Meropenem	1	11	19854
Ciprofloxacin	2766	859	16196
Amikacin	12	45	803
Gentamicin	1985	61	18006
Tobramycin	162	48	1755
Doxycyclin	1446	0	14
Tetracyclin	2794	1	5
Co-Trimoxazol	6414	43	13649
Fosfomycin	2156	4	10154
Nitrofurantoin	7153	1	12
