Antibiotic	R	I	S
Amoxicillin	3916	1241	8115
Amoxicillin/Clavulansäure	2502	5697	13522
Ampicillin	12161	9810	17143
Ampicillin/Sulbactam	5313	12222	26212
Piperacillin	9247	150	24508
Piperacillin/Tazobactam	504	1672	45182
Cefepim	77	28	7753
Cefotaxim	584	74	39754
Ceftazidim	447	369	47024
Cefuroxim	1438	18895	26564
Ertapenem	25	63	15890
Imipenem	3358	11149	23253
Meropenem	6	18	48904
Ciprofloxacin	8087	651	40596
Levofloxacin	6281	960	32221
Amikacin	91	157	4234
Gentamicin	5097	209	43381
Tobramycin	689	179	7175
Doxycyclin	5800	0	14
Tetracyclin	8659	2	21
Co-Trimoxazol	16527	116	32458
Fosfomycin	4468	39	28707
