Antibiotic	R	I	S
Oxacillin	45184	2	33857
Penicillin	44764	3	5485
Ciprofloxacin	23078	390	23943
Levofloxacin	30893	800	36796
Moxifloxacin	17708	9171	31709
Gentamicin	24761	105	50584
Clindamycin	34829	593	39822
Erythromycin	43673	138	28673
Doxycyclin	9856	593	23579
Tetracyclin	12201	3619	28875
Teicoplanin	5573	69	44437
Vancomycin	25	3	71799
Co-Trimoxazol	15912	1191	58041
Fosfomycin	29317	25	37136
Fusidinsäure	16371	863	37335
Linezolid	190	1	69673
Nitrofurantoin	1075	60	20889
Rifampicin	3406	540	61338
